"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"29.11.2024","20.3750","20.4501","20.4755","20.2495","","-0.17%"
"28.11.2024","20.4100","20.5850","20.5987","20.1979","","-0.83%"
"27.11.2024","20.5800","20.6260","20.7850","20.5180","","-0.22%"
"26.11.2024","20.6260","20.2850","20.8350","20.2724","","1.71%"
"25.11.2024","20.2800","20.4000","20.4410","20.2210","","-0.59%"
"22.11.2024","20.4010","20.4080","20.5530","20.3700","","-0.01%"
"21.11.2024","20.4030","20.2610","20.4690","20.2431","","0.73%"
"20.11.2024","20.2550","20.0800","20.3330","20.0702","","0.80%"
"19.11.2024","20.0950","20.2060","20.3410","20.0580","","-0.53%"
"18.11.2024","20.2020","20.3360","20.4431","20.1978","","-0.49%"
"15.11.2024","20.3010","20.3800","20.5001","20.3010","","-0.50%"
"14.11.2024","20.4020","20.5095","20.6740","20.3760","","-0.44%"
"13.11.2024","20.4920","20.5800","20.6580","20.4230","","-0.43%"
"12.11.2024","20.5810","20.3430","20.7000","20.3230","","1.21%"
"11.11.2024","20.3340","20.1540","20.5800","20.1160","","0.81%"
"08.11.2024","20.1711","19.8055","20.2760","19.7650","","1.90%"
"07.11.2024","19.7950","20.0875","20.2090","19.7560","","-1.42%"
"06.11.2024","20.0800","20.0950","20.8038","19.9960","","-0.08%"
"05.11.2024","20.0970","20.1040","20.3530","20.0280","","0.03%"
"04.11.2024","20.0910","20.1200","20.1669","19.9490","","-0.87%"
"01.11.2024","20.2670","20.0275","20.2980","19.9120","","1.27%"
"31.10.2024","20.0120","20.1505","20.1870","19.9808","","-0.65%"
"30.10.2024","20.1430","20.0400","20.2290","20.0006","","0.47%"
"29.10.2024","20.0480","20.0050","20.0980","19.9566","","0.12%"
