"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"28.11.2023","17.1356","17.1651","17.2130","17.1004","","-0.17%"
"29.11.2023","17.2760","17.1250","17.3201","17.1103","","0.82%"
"30.11.2023","17.3784","17.2764","17.4948","17.2511","","0.59%"
"01.12.2023","17.1700","17.3805","17.3949","17.1552","","-1.20%"
"04.12.2023","17.4522","17.1700","17.5381","17.1700","","1.64%"
"05.12.2023","17.3775","17.4520","17.5602","17.3510","","-0.43%"
"06.12.2023","17.2580","17.3773","17.3853","17.2350","","-0.69%"
"07.12.2023","17.4530","17.2480","17.5401","17.2450","","1.13%"
"08.12.2023","17.3470","17.4580","17.5110","17.3021","","-0.61%"
"11.12.2023","17.3755","17.3400","17.4639","17.3330","","0.16%"
"12.12.2023","17.3034","17.3758","17.4331","17.2893","","-0.41%"
"13.12.2023","17.2350","17.3031","17.4600","17.1871","","-0.40%"
"14.12.2023","17.1860","17.2300","17.3960","17.1362","","-0.28%"
"15.12.2023","17.1840","17.1840","17.3391","17.1667","","-0.01%"
"18.12.2023","17.1574","17.2010","17.2968","17.1434","","-0.15%"
"19.12.2023","17.0660","17.1578","17.1669","17.0240","","-0.53%"
"20.12.2023","17.1414","17.0653","17.1540","17.0238","","0.44%"
"21.12.2023","17.0220","17.1410","17.1423","17.0110","","-0.70%"
"22.12.2023","16.9680","17.0245","17.0494","16.9240","","-0.32%"
"25.12.2023","17.0130","16.9900","17.0130","16.9880","","0.27%"
"26.12.2023","16.9750","16.9880","16.9971","16.9384","","-0.22%"
"27.12.2023","16.9180","16.9750","16.9919","16.9009","","-0.34%"
"28.12.2023","16.9290","16.9180","16.9940","16.8555","","0.07%"
"29.12.2023","16.9540","16.9380","16.9900","16.8863","","0.15%"
"01.01.2024","16.9642","16.9634","16.9642","16.9634","","0.06%"
"02.01.2024","17.0140","16.9410","17.0706","16.9040","","0.29%"
"03.01.2024","17.0030","17.0220","17.0990","16.9960","","-0.06%"
"04.01.2024","17.0080","17.0100","17.0862","16.9730","","0.03%"
"05.01.2024","16.8660","17.0010","17.0740","16.8530","","-0.83%"
"08.01.2024","16.8170","16.8680","16.9080","16.7820","","-0.29%"
"09.01.2024","16.9610","16.8290","16.9847","16.8060","","0.86%"
"10.01.2024","16.9500","16.9419","17.0220","16.9417","","-0.06%"
"11.01.2024","16.9100","16.9697","17.0650","16.8930","","-0.24%"
